Region/Year,class,Land cover,Percentage of landscape (%),Number of patches,Mean patch area (ha),Edge density (m/ha),Mean shape index,Mean nearest neighbour distance (m)
mcws_1988,1,Forest,41.78064478,260,28.72530188,37.70873449,1.389258505,100.423252
mcws_1988,2,Mangrove,4.068079459,276,2.63477271,12.07016815,1.314599144,150.9688219
mcws_1988,3,Grassland,15.20564857,242,11.23187843,18.27004433,1.306657473,133.7387451
mcws_1988,4,Rice paddy/bare soil,1.331628744,188,1.266158642,4.950184433,1.207676249,161.7056782
mcws_1988,5,Exposed rock,0.453310042,117,0.692583737,2.445114797,1.201156177,153.6806586
mcws_1988,6,Shrub/other vegetation,36.66248652,356,18.40919211,40.52717986,1.354666847,103.3416907
mcws_1988,7,Built up area,0.379628862,66,1.028201181,1.724858848,1.231073983,260.7520938
mcws_1988,8,Water body,0.118573025,90,0.235508291,1.040865407,1.091841648,75.94117843
mcws_2000,1,Forest,36.64638401,321,20.40745781,40.36218456,1.377245064,105.5605111
mcws_2000,2,Mangrove,0.434279803,101,0.768618919,2.107957446,1.161098632,272.0393813
mcws_2000,3,Grassland,17.22041408,246,12.5132838,22.12610654,1.357726526,137.5001333
mcws_2000,4,Rice paddy/bare soil,3.492292753,438,1.425277219,13.57120779,1.265730961,127.2774357
mcws_2000,5,Exposed rock,0.303507907,134,0.404881584,2.042011411,1.135850879,158.8412057
mcws_2000,6,Shrub/other vegetation,41.66207176,620,12.01190765,46.16120893,1.26075108,87.99210557
mcws_2000,7,Built up area,0.097103012,28,0.619922618,0.588118348,1.225800646,943.5154606
mcws_2000,8,Water body,0.143946676,102,0.25226923,1.255660621,1.109361076,85.40958695
mcws_2010,1,Forest,39.45554,318,22.17908795,39.14019263,1.36590433,112.3964568
mcws_2010,2,Mangrove,0.287893353,72,0.714762818,1.430810835,1.173337728,312.5513048
mcws_2010,3,Grassland,15.74191093,229,12.28810121,19.83608508,1.331332912,143.6281856
mcws_2010,4,Rice paddy/bare soil,2.635444063,231,2.039410422,7.937528411,1.252207254,162.7177714
mcws_2010,5,Exposed rock,0.227386953,91,0.446670182,1.424030968,1.134166358,161.0379691
mcws_2010,6,Shrub/other vegetation,41.41321479,364,20.33763144,39.61292959,1.320633686,89.0099399
mcws_2010,7,Built up area,0.07465709,28,0.476623923,0.475792087,1.151351473,232.5393281
mcws_2010,8,Water body,0.163952825,116,0.252652573,1.430773633,1.109091232,84.65930812
mcws_2015,1,Forest,32.23917594,362,15.91982074,39.61540437,1.366588558,117.8816747
mcws_2015,2,Mangrove,0.0151266,10,0.270398408,0.135490333,1.150267107,943.9682178
mcws_2015,3,Grassland,13.36020338,193,12.37424105,16.5151597,1.319182249,188.4506952
mcws_2015,4,Rice paddy/bare soil,2.421719846,306,1.414703037,9.675232725,1.283011966,141.4540735
mcws_2015,5,Exposed rock,0.075145045,60,0.223878252,0.667386027,1.079254459,194.4646115
mcws_2015,6,Shrub/other vegetation,51.58512128,443,20.81534154,47.98203215,1.27140925,93.424683
mcws_2015,7,Built up area,0.07465709,20,0.667273492,0.396531847,1.157178278,224.2466063
mcws_2015,8,Water body,0.228850818,126,0.324671924,1.78765304,1.135869812,70.36104723
mibnp_1988,1,Forest,52.66142981,1429,35.83000178,27.80984804,1.36333541,113.4499226
mibnp_1988,2,Mangrove,0.006818198,16,0.414320142,0.04556926,1.127148258,450.182699
mibnp_1988,3,Grassland,35.58354805,1294,26.7363049,26.88980479,1.288449217,146.8743282
mibnp_1988,4,Rice paddy/bare soil,0.113038548,168,0.654189698,0.57167882,1.141864317,292.2276277
mibnp_1988,5,Exposed rock,0.659750382,218,2.942453233,1.628095224,1.264475735,302.5373904
mibnp_1988,6,Shrub/other vegetation,10.94850107,680,15.65424637,10.36370277,1.281859381,139.7590005
mibnp_1988,7,Built up area,0.02691394,46,0.568860607,0.15492536,1.156968842,482.521973
mibnp_2000,1,Forest,51.46959084,1520,32.92255561,29.4376401,1.330622714,115.5550509
mibnp_2000,2,Mangrove,0.00287082,9,0.310134375,0.021872314,1.100913285,849.4269309
mibnp_2000,3,Grassland,32.67397171,1342,23.67204757,24.97208573,1.266177764,165.193206
mibnp_2000,4,Rice paddy/bare soil,1.256342719,1230,0.993091873,5.271406455,1.192391654,142.1791318
mibnp_2000,5,Exposed rock,1.048028823,322,3.164490289,2.884952899,1.351500486,298.001111
mibnp_2000,6,Shrub/other vegetation,13.54910538,1801,7.314477695,18.61624826,1.275288739,115.3540306
mibnp_2000,8,Water body,8.97E-05,1,0.087225293,0.001215053,0.984464906,NA
mibnp_2010,1,Forest,52.80075431,1550,33.12034415,28.51501133,1.34434428,115.8619821
mibnp_2010,3,Grassland,32.78629255,1290,24.71092551,25.50003686,1.265371856,158.8810091
mibnp_2010,4,Rice paddy/bare soil,0.858285546,772,1.080938314,3.569768403,1.204576862,156.6934517
mibnp_2010,5,Exposed rock,0.647997962,250,2.520113166,1.98290289,1.316636717,297.1958695
mibnp_2010,6,Shrub/other vegetation,12.90657992,845,14.85049323,14.12878191,1.331547603,101.4897156
mibnp_2010,7,Built up area,8.97E-05,1,0.087225293,0.001215053,0.984464906,NA
mibnp_2015,1,Forest,46.4690705,1944,23.24096395,33.93330183,1.321378486,113.6538728
mibnp_2015,3,Grassland,34.97610042,1402,24.2554751,23.80776493,1.261439245,157.1491246
mibnp_2015,4,Rice paddy/bare soil,0.999135165,725,1.339900811,3.381427045,1.195680032,171.9163011
mibnp_2015,5,Exposed rock,0.529038347,212,2.426262042,1.671267209,1.341226363,311.3887358
mibnp_2015,6,Shrub/other vegetation,17.02199048,2158,7.669116147,26.04783628,1.299522319,113.0980668
mibnp_2015,7,Built up area,0.00457537,15,0.296565996,0.032809156,1.062440962,590.903447
mibnp_2015,8,Water body,8.97E-05,1,0.087225293,0.001215053,0.984464906,NA
siburan_1988,1,Forest,68.03058062,84,93.69554064,25.94602074,1.319119246,93.2215707
siburan_1988,2,Mangrove,1.729584643,95,2.106261286,5.9831285,1.343109034,130.5215281
siburan_1988,3,Grassland,11.16841208,113,11.43423244,11.96209972,1.306338181,160.3605764
siburan_1988,4,Rice paddy/bare soil,0.312139513,88,0.410355356,2.098562383,1.132101212,230.2442144
siburan_1988,5,Exposed rock,1.460420861,60,2.81592321,4.253833821,1.369553792,106.6569474
siburan_1988,6,Shrub/other vegetation,17.01235741,190,10.35869217,19.45213575,1.313618316,133.5457478
siburan_1988,7,Built up area,0.105554425,15,0.814102735,0.520772502,1.198578907,679.1604866
siburan_1988,8,Water body,0.180950442,2,10.46703516,0.25529777,1.288265963,65.99533063
siburan_2000,1,Forest,70.08436814,66,122.8488956,23.56733899,1.280818895,103.8915437
siburan_2000,2,Mangrove,0.499875597,60,0.963839488,2.144289734,1.177772891,178.1285254
siburan_2000,3,Grassland,8.9208568,70,14.74356667,8.694918266,1.32982901,231.8543255
siburan_2000,4,Rice paddy/bare soil,1.792917298,164,1.264766749,7.296489815,1.270820422,137.0218414
siburan_2000,5,Exposed rock,0.867808162,49,2.048904332,3.089590458,1.349690257,214.4224205
siburan_2000,6,Shrub/other vegetation,17.76179382,232,8.857126952,22.00556181,1.285693796,130.6986252
siburan_2000,8,Water body,0.072380177,1,8.37362813,0.132760359,1.326337006,NA
siburan_2010,1,Forest,70.33392896,76,107.0644564,28.51977773,1.352757348,123.692966
siburan_2010,2,Mangrove,0.036190088,3,1.395604688,0.153217749,1.318061989,105.5074797
siburan_2010,3,Grassland,10.0133451,92,12.59172953,10.12461337,1.291979488,187.3866468
siburan_2010,4,Rice paddy/bare soil,0.959791304,164,0.677059744,5.253923715,1.204524011,110.5176518
siburan_2010,5,Exposed rock,1.694148515,64,3.062425522,4.564989919,1.369010907,209.5993059
siburan_2010,6,Shrub/other vegetation,16.90604902,293,6.675265342,26.04404695,1.293542339,115.4509606
siburan_2010,8,Water body,0.056547013,1,6.541896976,0.102126006,1.153799695,NA
siburan_2015,1,Forest,69.08687883,97,82.39822732,32.11884858,1.301924603,91.78946635
siburan_2015,2,Mangrove,0.027896527,3,1.075778614,0.13784884,1.271998863,128.77421
siburan_2015,3,Grassland,10.11889952,93,12.58764148,10.05278832,1.257143759,204.4658383
siburan_2015,4,Rice paddy/bare soil,1.126416503,158,0.824775872,5.743935404,1.228356722,103.1249257
siburan_2015,5,Exposed rock,0.741142853,53,1.617782321,2.568300622,1.257458302,169.1555476
siburan_2015,6,Shrub/other vegetation,18.82713955,260,8.37731843,29.16839455,1.365065827,111.0764006
siburan_2015,7,Built up area,0.021110885,4,0.610577051,0.112314464,1.120071551,639.3125602
siburan_2015,8,Water body,0.050515332,3,1.948031544,0.132737366,1.116888669,3243.735309
mindoro_1988,1,Forest,30.25818964,9508,32.33136489,20.15106919,1.352686302,115.6412628
mindoro_2000,1,Forest,29.14872878,10692,27.69688583,20.09530667,1.327602185,122.038661
mindoro_2010,1,Forest,30.29617247,11634,26.45629208,21.42385441,1.33279562,122.0443861
mindoro_2015,1,Forest,27.22910213,14332,19.30175474,23.47983029,1.318930777,122.5872508
mindoro_1988,2,Mangrove,3.312293102,12005,2.803088873,8.239820614,1.251007285,150.1716925
mindoro_2000,2,Mangrove,1.746093903,6265,2.831501475,4.404770504,1.253974774,193.1402971
mindoro_2010,2,Mangrove,0.808783512,3581,2.294553771,2.226566232,1.242330636,258.7172845
mindoro_2015,2,Mangrove,0.628828708,2657,2.404424129,1.64387348,1.23320746,272.2465349
mindoro_1988,3,Grassland,10.75483227,7925,13.7871545,11.85495824,1.298295378,151.1355446
mindoro_2000,3,Grassland,9.443008116,7356,13.04184138,10.87980491,1.29948092,165.4142104
mindoro_2010,3,Grassland,9.627169878,7236,13.51668985,11.11221714,1.300556383,167.773996
mindoro_2015,3,Grassland,9.755799786,7282,13.61076313,10.6975512,1.294252348,166.021792
mindoro_1988,4,Rice paddy/bare soil,13.72539155,9393,14.84535857,12.65462533,1.262554692,146.0008127
mindoro_2000,4,Rice paddy/bare soil,14.64995228,19321,7.703301234,18.12961558,1.270663779,112.9498971
mindoro_2010,4,Rice paddy/bare soil,18.13962449,13590,13.5606063,15.60902087,1.261067127,120.5919431
mindoro_2015,4,Rice paddy/bare soil,16.99885184,15324,11.26983914,17.4354599,1.271616755,122.1370379
mindoro_1988,5,Exposed rock,1.298713898,3981,3.31429821,2.711851874,1.24745117,189.6253146
mindoro_2000,5,Exposed rock,1.715443204,4608,3.782109906,3.474045984,1.265334037,196.604603
mindoro_2010,5,Exposed rock,1.714112432,4974,3.501094195,3.514856787,1.236933387,206.0168793
mindoro_2015,5,Exposed rock,1.217768579,3431,3.605905308,2.497155139,1.247937543,234.0613334
mindoro_1988,6,Shrub/other vegetation,38.92486793,12439,31.79156822,26.10491554,1.289098971,111.842113
mindoro_2000,6,Shrub/other vegetation,41.91581807,17973,23.69341405,31.36180003,1.27986909,111.5874892
mindoro_2010,6,Shrub/other vegetation,37.65648706,13292,28.78191867,26.73100107,1.281081485,106.5252963
mindoro_2015,6,Shrub/other vegetation,42.30843034,19558,21.97721936,32.23142128,1.267670696,110.4160528
mindoro_1988,7,Built up area,0.838661504,4830,1.764045771,2.673296977,1.235035049,198.7854552
mindoro_2000,7,Built up area,0.357110692,1827,1.985795751,1.08069528,1.241988455,292.5918336
mindoro_2010,7,Built up area,0.654611355,3634,1.830074977,2.007840747,1.221371683,210.3450542
mindoro_2015,7,Built up area,0.679046058,4083,1.68962421,2.213043704,1.221492571,206.0876478
mindoro_1988,8,Water body,0.887050114,3326,2.709543844,1.067764371,1.136107802,110.8576038
mindoro_2000,8,Water body,1.023844956,4074,2.553191806,1.31398574,1.148318069,108.1599939
mindoro_2010,8,Water body,1.103038806,4258,2.631815294,1.555945745,1.176235316,99.20192241
mindoro_2015,8,Water body,1.182172558,4540,2.645424019,1.806811835,1.198111048,123.647167
